/home/mumu/projects/robust_steganography_modify/venv/lib/python3.12/site-packages/jieba/_compat.py:18: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
Running on device: cuda
Loading local GPT-2 model (gpt2) on cuda...
Top 1 score: 0.4252432501766723
Top 1 score: 0.24428822565061847
Top 1 score: 0.4485860415023919
Top 1 score: 0.3293983261085514
Top 1 score: 0.2938594487361446
Top 1 score: 0.38057990052956103
Top 1 score: 0.08929983830960544
Top 1 score: 0.14751982785031192
Top 1 score: 0.3135104034172166
Top 1 score: 0.13510799275472837
Top 1 score: 0.1852179698436889
Top 1 score: 0.19312897305559273
Top 1 score: 0.21058288121596758
Top 1 score: 0.2647315438992485
Top 1 score: 0.23224720423943931
Top 1 score: 0.20026580370918962
Top 1 score: 0.33164194439202743
Top 1 score: 0.18973723652165086
Top 1 score: 0.14794279208389055
Top 1 score: 0.17859095534859942
Top 1 score: 0.2387556825968483
Top 1 score: 0.2591841475272736
Top 1 score: 0.25918413693264153
Top 1 score: 0.26356869741932887
Top 1 score: 0.28432323140811194
Top 1 score: 0.5136690651282471
Top 1 score: 0.2831253054101296
Top 1 score: 0.3253582860545807
Top 1 score: 0.2723653048753315
Top 1 score: 0.2821752138973118
Top 1 score: 0.4092763194602107
Top 1 score: 0.3746218553695766
Top 1 score: 0.46258764500891897
Top 1 score: 0.40693011738827806
Top 1 score: 0.4287494310046561
Top 1 score: 0.39088893171182737
Top 1 score: 0.43717696613918194
Top 1 score: 0.40839738697288575
Top 1 score: 0.53705731090961
Top 1 score: 0.5060419526817154
Top 1 score: 0.48432235981347693
Top 1 score: 0.46392308142399774
Top 1 score: 0.4049313076686406
Top 1 score: 0.4149660983906317
Top 1 score: 0.4414066060665299
Top 1 score: 0.4330177876228769
Top 1 score: 0.3672214983477248
Top 1 score: 0.43047640042840785
Top 1 score: 0.3824556456465648
Top 1 score: 0.40292958155965863
Attempt 1: Target=[0], Got=[1]
Generated message: I'm going to start with this, which is probably why I'm posting this here so soon!
This is my first blog post! I hope you enjoy it as much as I enjoy sharing!
If you're interested, check out my
Top 1 score: 0.34914722326505543
Top 1 score: 0.07166648130526548
Top 1 score: 0.07243937898136563
Top 1 score: 0.45803131525198537
Top 1 score: 0.15260011334659906
Top 1 score: 0.13321391422295778
Top 1 score: 0.3011667422825329
Top 1 score: 0.19936714857143054
Top 1 score: 0.32884314371361656
Top 1 score: 0.2106658520614852
Top 1 score: 0.207081625868406
Top 1 score: 0.32138687505148045
Top 1 score: 0.4166060316176379
Top 1 score: 0.4455135286403623
Top 1 score: 0.35629315499376346
Top 1 score: 0.24678070284783227
Top 1 score: 0.41752783113264175
Top 1 score: 0.41560572725150924
Top 1 score: 0.4691962559208448
Top 1 score: 0.22173740002280107
Top 1 score: 0.1025833388931438
Top 1 score: 0.08767585278173812
Top 1 score: 0.12555042740732536
Top 1 score: 0.10610536188697475
Top 1 score: 0.11475289044517106
Top 1 score: 0.13203370835767
Top 1 score: 0.05132430641956673
Top 1 score: 0.01686003231629407
Top 1 score: 0.19479000572630595
Top 1 score: -0.055276846903936694
Top 1 score: 0.02053156863167352
Top 1 score: 0.2048343924626072
Top 1 score: -0.05421676266482138
Top 1 score: -0.06051308988982898
Top 1 score: -0.037186408216294986
Top 1 score: -0.16214793437911118
Top 1 score: -0.16326611797541665
Top 1 score: -0.17550898451312097
Top 1 score: -0.26287004805701947
Top 1 score: -0.2507352072208423
Top 1 score: -0.20965657849832395
Top 1 score: -0.2910823525866985
Top 1 score: -0.21409674238607052
Top 1 score: -0.27529981647662205
Top 1 score: -0.32751586425128765
Top 1 score: -0.3014395108156013
Top 1 score: -0.24627525158997116
Top 1 score: -0.061221715729760956
Top 1 score: -0.2382760619236968
Top 1 score: -0.27135198162814433
Attempt 2: Target=[0], Got=[1]
Generated message: ____
What are you looking forward to most?
I'm looking forward to meeting the next person I'm going to be meeting. ____
I've been looking forward to talking with people I know and have worked with on my projects. I
Top 1 score: 0.19588875573445502
Top 1 score: 0.42524260268839453
Top 1 score: 0.22042460940254696
Top 1 score: 0.26721553237999784
Top 1 score: 0.2730568947317106
Top 1 score: 0.13139822424381162
Top 1 score: 0.2642583248192918
Top 1 score: 0.21254201799084788
Top 1 score: 0.3711032494676288
Top 1 score: 0.4551698972846905
Top 1 score: 0.4709046594886429
Top 1 score: 0.5184484952689568
Top 1 score: 0.5251287408741111
Top 1 score: 0.4815682059516355
Top 1 score: 0.42422103558882146
Top 1 score: 0.5663829327032004
Top 1 score: 0.29456119154030286
Top 1 score: 0.16969987269522047
Top 1 score: 0.12554392932638256
Top 1 score: 0.11418205470796486
Top 1 score: 0.12554323373714893
Top 1 score: 0.15424789059153787
Top 1 score: 0.47991786223010424
Top 1 score: -0.013651566349326238
Top 1 score: 0.022925048804514736
Top 1 score: 0.14569885955499068
Top 1 score: 0.37097676080072556
Top 1 score: 0.2064828841024054
Top 1 score: 0.1182965391536075
Top 1 score: 0.2223287856463756
Top 1 score: 0.17789042749135564
Top 1 score: 0.09619204536654061
Top 1 score: 0.13864076248672652
Top 1 score: 0.2064192324110668
Top 1 score: 0.23842032365187169
Top 1 score: 0.2412017210306595
Top 1 score: 0.4133790318468599
Top 1 score: 0.23645252269044953
Top 1 score: 0.41048557719762
Top 1 score: 0.2812863793770232
Top 1 score: 0.28575607814869597
Top 1 score: 0.20236266762109753
Top 1 score: 0.3297047244098967
Top 1 score: 0.2743405161062584
Top 1 score: 0.25226488811288733
Top 1 score: 0.22656542765067067
Top 1 score: 0.2930269968002045
Top 1 score: 0.19832986108127984
Top 1 score: 0.19832986108127984
Top 1 score: 0.19832984550274219
Attempt 3: Target=[0], Got=[0]
Generated message: The next day, you'll be in the office with a few other employees.  
The next day, you'll be in the lab with your team. You'll be working with them on the project and making notes.
Top 1 score: 0.19832986108127984
Top 1 score: 0.19832984550274219
Top 1 score: 0.26511455836929076
Top 1 score: 0.11972137062092338
Top 1 score: 0.14549753621834757
Top 1 score: 0.5190692860479531
Top 1 score: 0.249613045192449
Top 1 score: 0.20013746101686775
Top 1 score: 0.27557791848112023
Top 1 score: 0.23845814945443647
Top 1 score: 0.08689100630839416
Top 1 score: 0.08601868334066415
Top 1 score: 0.08602665049838618
Top 1 score: 0.11509846019449912
Top 1 score: 0.0922482529674214
Top 1 score: 0.09224867918297092
Top 1 score: 0.09224867918297128
Top 1 score: 0.09023787437471803
Top 1 score: 0.22834646893261948
Top 1 score: 0.15790434179748056
Top 1 score: 0.16503165957323107
Top 1 score: 0.07657003082122406
Top 1 score: 0.23988475560827036
Top 1 score: 0.22534178685166809
Top 1 score: 0.2082690841679468
Top 1 score: 0.10496856333789154
Top 1 score: 0.15569369255373336
Top 1 score: 0.10727689833334454
Top 1 score: 0.1438982836732821
Top 1 score: 0.17039127473025262
Top 1 score: 0.21954564815187877
Top 1 score: 0.21954564815187877
Top 1 score: 0.21954564815187877
Top 1 score: 0.26651202806723767
Top 1 score: 0.42940272242735256
Top 1 score: 0.37060957213658746
Top 1 score: 0.3007689773513907
Top 1 score: 0.39172734887902755
Top 1 score: 0.37280851721928465
Top 1 score: 0.39043139781770664
Top 1 score: 0.4485061476949965
Top 1 score: 0.3544932488353263
Top 1 score: 0.3989826949196558
Top 1 score: 0.4628920313909157
Top 1 score: 0.35827230133946564
Top 1 score: 0.39024734955852913
Top 1 score: 0.39024705250974684
Top 1 score: 0.4757814170259964
Top 1 score: 0.5162588396576969
Top 1 score: 0.46151895985906977
Attempt 1: Target=[0], Got=[0]
Generated message: Then, you'll be in the lab with the team.  
You'll be working in a lab with a team of 3.   The team will be in the room, working on the project. 
The team in
Top 1 score: 0.5646287189571026
Top 1 score: 0.5314898250720547
Top 1 score: 0.4975452634383558
Top 1 score: 0.48803535813571486
Top 1 score: 0.46349898792019906
Top 1 score: 0.424280562373038
Top 1 score: 0.5101165498622307
Top 1 score: 0.5412353810634641
Top 1 score: 0.45588421283732966
Top 1 score: 0.4889436142968923
Top 1 score: 0.4816297966645627
