/home/mumu/projects/robust_steganography_modify/venv/lib/python3.12/site-packages/jieba/_compat.py:18: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
Running on device: cuda
Loading local GPT-2 model (gpt2) on cuda...
Loading embedding model: all-MiniLM-L6-v2 on cuda...
Top 1 score: -0.2255960754901402
Top 1 score: -0.3036560556673642
Top 1 score: -0.24997457701581668
Top 1 score: -0.10139297090874536
Top 1 score: -0.02327347101951044
Top 1 score: -0.47588382384811906
Top 1 score: -0.4791162358657741
Top 1 score: -0.40235368898251245
Top 1 score: -0.5038133390574128
Top 1 score: -0.4189639154716401
Top 1 score: -0.40436818017499865
Top 1 score: -0.4308133948903874
Top 1 score: -0.14090560036307137
Top 1 score: -0.47978940239698753
Top 1 score: -0.4289149558879752
Top 1 score: -0.36961794530475484
Top 1 score: -0.2587847165273229
Top 1 score: -0.014411190796589923
Top 1 score: -0.3366046949291167
Top 1 score: 0.1764614715009265
Top 1 score: -0.05303834350581213
Top 1 score: 0.02676255330024177
Top 1 score: -0.07475937116196382
Top 1 score: -0.09238397028328461
Top 1 score: -0.10209374825449426
Top 1 score: -0.1281444501108925
Top 1 score: 0.033044520531709726
Top 1 score: 0.24025231124737914
Top 1 score: 0.22133197478005914
Top 1 score: 0.3126782067526507
Top 1 score: 0.8548406743871741
Top 1 score: 0.6572515142734886
Top 1 score: 0.3800448563447507
Top 1 score: 0.2745732741441856
Top 1 score: 0.2268266265092168
Top 1 score: 0.3116081875780031
Top 1 score: 0.24604288744159653
Top 1 score: 0.1757954248521788
Top 1 score: 0.15281056244061608
Top 1 score: 0.14130492688024654
Top 1 score: 0.19324179108296538
Top 1 score: 0.17916773576104253
Top 1 score: 0.17903030440672443
Top 1 score: 0.1719335656614928
Top 1 score: 0.1719336297307364
Top 1 score: 0.13952663908256152
Top 1 score: 0.19387936977022585
Top 1 score: 0.2072571255538992
Top 1 score: 0.16622663298089344
Top 1 score: 0.15033816884303136
Attempt 1: Target=[0], Got=[0]
Generated message: You can join my group here.
Want to get some ideas for what you can do to help others?
I'm a big supporter of social media, so I'll be doing some work on that too.
And you know what, if
Top 1 score: 0.18512532463723008
Top 1 score: 0.24256320959845115
Top 1 score: 0.1969771657169503
Top 1 score: 0.18815520712555278
Top 1 score: 0.19992116789808362
Top 1 score: 0.17827387470330325
Top 1 score: 0.14914819559518844
Top 1 score: 0.16773458590087917
Top 1 score: 0.3004927515333469
Top 1 score: 0.21142379088442625
Top 1 score: 0.25172217916255496
Top 1 score: 0.2484005917604421
Top 1 score: 0.2704381028270322
Top 1 score: 0.27138533539693527
Top 1 score: 0.38328095342657414
Top 1 score: 0.289702427900746
Top 1 score: 0.2896372086278993
Top 1 score: 0.1360683922935756
Top 1 score: 0.16079897915950175
Top 1 score: 0.10401537435084013
Top 1 score: 0.3146061482409336
Top 1 score: 0.3750826093015678
Top 1 score: 0.4027085386365421
Top 1 score: 0.3501924274603252
Top 1 score: 0.3219919042526689
Top 1 score: 0.34683774400509193
Top 1 score: 0.3568541718706711
Top 1 score: 0.3432262358281554
Top 1 score: 0.3459880910263049
Top 1 score: 0.43874459824043777
Top 1 score: 0.3058166384516662
Top 1 score: 0.308886116081474
Top 1 score: 0.22883748404111834
Top 1 score: 0.2554174642347016
Top 1 score: 0.21618573497258312
Top 1 score: 0.20610665261639152
Top 1 score: 0.20226076375216226
Top 1 score: 0.2037416349388838
Top 1 score: 0.18697615728633096
Top 1 score: 0.16651201945439947
Top 1 score: 0.18121942242639183
Top 1 score: 0.14344200326013845
Top 1 score: 0.15051394485803526
Top 1 score: 0.17721011226202607
Top 1 score: 0.1615000254991277
Top 1 score: 0.15828158436659162
Top 1 score: 0.20222454531000178
Top 1 score: 0.16771166868511464
Top 1 score: 0.2002542792067242
Top 1 score: 0.3551135220059647
Attempt 1: Target=[0], Got=[0]
Generated message: you've done something great and it has been successful, you can join and get involved with me on Patreon.
